id,state,name,address_line1,address_line2,city,district,pin_code
31794,Madhya Pradesh,"M.J M C NURSING & REASEARCH,SHERGANJ,SATNA",Sherganj,Mahadeva Road,Satna,Satna,485001
31624,Madhya Pradesh,"Govt.College, Maksi",gram jhonkar,JHONKAR MAKSI,Maksi,Shajapur,465106
31656,Madhya Pradesh,"Govt. Arts & Comm. College, Kannod",Satwas Road Kannod,Distt. Dewas,Kannod,Dewas,455332
33421,Madhya Pradesh,"Govt. Degree College Patan, Jabalpur","Mahuwa Kheda Road, Patan, Jabalpur","Mahuwa Kheda Road, Patan, Jabalpur",Jabalpur,Jabalpur,483113
31746,Madhya Pradesh,"Govt.Girls College, Shajapur",KILA PARISAR,SHAJAPUR,SHAJAPUR,Shajapur,465001
33377,Madhya Pradesh,"Govt. M.H. College of Home Sc. & Science for Women, Wright Town Jabalpur",Near Shashtri Bridge,Napier Town Jabalpur,Jabalpur,Jabalpur,482002
31676,Madhya Pradesh,"Govt. College, Nalkheda",bheshoda road,nalkheda,nalkheda,Shajapur,465445
50376,Madhya Pradesh,"TATA B.ED. COLLEGE, SAGRA, REWA","Vill-Sagra, post-Sagra",Teh-Hujur,Rewa,Rewa,486001
29826,Madhya Pradesh,"Dr. Jakir Hussain College of Education, Burhanpur","P.O.Box No. 52, Surury Campus, Station-Dargah Road",Burhanpur,Burhanpur,Burhanpur,450331
6614,Madhya Pradesh,"Government Manmal Mimraj Ruyia Sanskrit College, Ujjain",JAISING PURA ROAD,NEAR CHAR DHAM MANDIR,UJJAIN,Ujjain,456001
29738,Madhya Pradesh,"Govt. Ayurveda College, Burhanpur","SHIKAR PURA , NEAR PANI KI TANKI",NA,BURHANPUR,Burhanpur,450331
31643,Madhya Pradesh,"Govt. College, Susner",Near Tehsil Office Susner,NA,Susner,Shajapur,465447
52940,Madhya Pradesh,ROYAL COLLEGE OF TECHNOLOGY,Gram Mangrol,Mhow Neemuch Road,Ratlam,Ratlam,457001
29686,Madhya Pradesh,"Govt. College, Rajpur",Barwani Road rajpur,Govt. College Rajpur,Rajpur,Barwani,451447
34889,Madhya Pradesh,GOVT. COLLEGE MAHGOAN,gwalior road,near bsnal office,mehgaon,Bhind,477557
29782,Madhya Pradesh,"Pandit Jawaharlal Nehru Govt. College, Nepanager",BEED COLONY,NEPANAGAR,NEPANAGAR,Burhanpur,450221
29811,Madhya Pradesh,"Indore Institute of Medical Sciences, Indore","95 AF-Slice 6, Sector No. 78","Aranya, Dist-Indore (M.P.)",Indore,Indore,452010
29658,Madhya Pradesh,"S.D. Bansal College of Technology, Umariya, A.B.Road, Indore","Umaria, A.B. Road, Indore",NA,Indore,Indore,453331
31605,Madhya Pradesh,"Govt.College, Badanagar",AMLA ROAD,BADNAWAR ROAD BADNAGAR,BADNAGAR,Ujjain,456771
29837,Madhya Pradesh,"ILVA Commerce & Science College, Indore","Scheme No. 31,Sneh Nagar, Behind Lotus Showroom,Sapna- Sangeeta Road, Indore -452001 (M.P.)","Scheme No. 31,Sneh Nagar, Behind Lotus Showroom,Sapna- Sangeeta Road, Indore -452001 (M.P.)",Indore,Indore,452008
33445,Madhya Pradesh,"Regional Institute of Nursing, Jabalpur",Gram Regwan patan bypass squarer,NA,Jabalpur,Jabalpur,482004
33374,Madhya Pradesh,"Mahatma Gandhi Institute of Nursing, Jabalpur","Mahatma Gandhi Institute Of Nursing, Neemkheda","Gour, Opp. Marble Rock School , Jabalpur (M.P)",Jabalpur,Jabalpur,482021
47396,Madhya Pradesh,"NANDANVAN COLLEGE OF NURSING, Jabalpur","TFRI, Mandla Road, Near Babey Hospital","Gour Tiraha,",Jabalpur,Jabalpur,482021
47354,Madhya Pradesh,"BABU GANGARAM NURSING COLLEGE, JABALPUR","67,mahakoshal nagar adharta jabalpur",adhartal jabalpur,jabalpur,Jabalpur,482002
36277,Madhya Pradesh,"Malwa Institute of Technology & Management, Sikroda-Badori, Gwalior-475001","SIKRODA BADORI, NH 75,","JHANSI ROAD,GWALIOR",GWALIOR,Gwalior,475001
33337,Madhya Pradesh,"Reva B.Ed. College of Education, Jabalpur","67, mahakoshal nagar adhartal jabalpur","67, mahakoshal nagar adhartal jabalpur",jabalpur,Jabalpur,482002
35325,Madhya Pradesh,"Rani Dullaiya Nursing College, Berkedi Kalan Sharda Vidy Mandir Bhadbadha Road, Bhopal",Barkhedi Kalan,Bhadbhada Road,Bhopal,Bhopal,462044
34735,Madhya Pradesh,AKADAMI NURSING COLLEGE,"ARYAN 1 K.M. STONE NEAR NAI DUNIYA PRESS,SHIVPURI LINK","KEDARPUR, GWALIOR (M.P.)",GWALIOR,Gwalior,474009
29806,Madhya Pradesh,"Govt. College, Sendhwa",A. B. ROAD SENDHWA,NA,SENDHWA,Barwani,451666
35980,Madhya Pradesh,"""Nimar Institute of Pharmacy, Maheshwar Road, Opp. ITI Dhamnod, Distt. Dhar - 454552""",OPP ITI MAHESHWAR ROAD DHAMNOD,DHAR MP 454552,DHAMNOD,Dhar,454552
34962,Madhya Pradesh,P.G. COLLEGE OF NURSINGH CENTER HOSPITAL,MANDRE KI MATA CANCER HILL,GWALIOR (MP) 474009,GWALIOR,Gwalior,474009
35941,Madhya Pradesh,"R.K.D.F. School of Engineering, Aranda, Indore Bypass Road,Inodre - 452 016",INDORE DEWAS BYPASS ROAD GRAM ARANDIA,POST JHALARIA INDORE,INDORE,Indore,452016
